Passenger 1 ID,Passenger 2 ID,Number of Flights Together,From,To
2759,2717,13,2017-01-10 00:00:00,2017-04-25 00:00:00
366,374,12,2017-01-01 00:00:00,2017-03-25 00:00:00
1371,975,12,2017-01-25 00:00:00,2017-04-22 00:00:00
1371,1337,11,2017-01-03 00:00:00,2017-04-15 00:00:00
4053,4025,11,2017-01-20 00:00:00,2017-04-24 00:00:00
2969,2959,11,2017-01-10 00:00:00,2017-04-02 00:00:00
928,975,11,2017-01-02 00:00:00,2017-04-15 00:00:00
716,724,11,2017-01-02 00:00:00,2017-04-12 00:00:00
771,755,11,2017-01-02 00:00:00,2017-02-26 00:00:00
2939,2959,11,2017-01-10 00:00:00,2017-04-02 00:00:00
752,733,11,2017-01-02 00:00:00,2017-03-24 00:00:00
1001,1023,11,2017-01-02 00:00:00,2017-04-20 00:00:00
2939,2969,11,2017-01-10 00:00:00,2017-04-02 00:00:00
1666,1696,11,2017-01-07 00:00:00,2017-04-05 00:00:00
752,366,11,2017-01-03 00:00:00,2017-04-05 00:00:00
746,772,11,2017-01-02 00:00:00,2017-04-21 00:00:00
772,1023,10,2017-01-02 00:00:00,2017-04-21 00:00:00
2511,407,10,2017-01-21 00:00:00,2017-03-13 00:00:00
2717,4316,10,2017-02-07 00:00:00,2017-04-25 00:00:00
4012,4083,10,2017-01-20 00:00:00,2017-04-12 00:00:00
752,739,10,2017-01-02 00:00:00,2017-04-16 00:00:00
391,1662,10,2017-01-10 00:00:00,2017-04-05 00:00:00
624,670,10,2017-01-02 00:00:00,2017-04-15 00:00:00
760,751,10,2017-01-02 00:00:00,2017-04-29 00:00:00
2511,928,10,2017-02-04 00:00:00,2017-04-24 00:00:00
1464,1666,10,2017-02-02 00:00:00,2017-04-05 00:00:00
4607,4674,10,2017-02-02 00:00:00,2017-04-25 00:00:00
701,763,10,2017-01-02 00:00:00,2017-04-29 00:00:00
1865,1884,10,2017-01-08 00:00:00,2017-04-25 00:00:00
4009,4083,10,2017-01-20 00:00:00,2017-04-12 00:00:00
701,760,10,2017-01-02 00:00:00,2017-04-29 00:00:00
760,763,10,2017-01-02 00:00:00,2017-04-29 00:00:00
4609,4656,10,2017-02-02 00:00:00,2017-03-20 00:00:00
4012,4080,10,2017-01-20 00:00:00,2017-03-14 00:00:00
701,751,10,2017-01-02 00:00:00,2017-04-29 00:00:00
928,1337,10,2017-01-25 00:00:00,2017-04-15 00:00:00
4395,4388,10,2017-01-24 00:00:00,2017-04-02 00:00:00
752,374,10,2017-01-03 00:00:00,2017-03-25 00:00:00
2511,2867,10,2017-01-10 00:00:00,2017-04-15 00:00:00
1371,928,10,2017-01-25 00:00:00,2017-04-15 00:00:00
2511,1484,10,2017-02-02 00:00:00,2017-04-15 00:00:00
733,739,10,2017-01-02 00:00:00,2017-03-04 00:00:00
274,275,10,2017-01-01 00:00:00,2017-04-13 00:00:00
4009,4012,10,2017-01-20 00:00:00,2017-04-12 00:00:00
2867,1484,10,2017-02-02 00:00:00,2017-04-15 00:00:00
4399,4388,10,2017-01-24 00:00:00,2017-04-02 00:00:00
1484,1337,10,2017-02-04 00:00:00,2017-04-26 00:00:00
1464,1696,10,2017-02-02 00:00:00,2017-04-05 00:00:00
2759,4316,10,2017-02-07 00:00:00,2017-04-25 00:00:00
751,763,10,2017-01-02 00:00:00,2017-04-29 00:00:00
4399,4395,10,2017-01-24 00:00:00,2017-04-02 00:00:00
4373,4316,10,2017-01-24 00:00:00,2017-04-25 00:00:00
2905,2988,10,2017-01-10 00:00:00,2017-04-29 00:00:00
4011,4044,10,2017-01-20 00:00:00,2017-04-05 00:00:00
1337,975,10,2017-01-25 00:00:00,2017-04-15 00:00:00
4339,4083,9,2017-01-31 00:00:00,2017-04-12 00:00:00
2867,928,9,2017-02-04 00:00:00,2017-04-15 00:00:00
4388,4316,9,2017-01-24 00:00:00,2017-03-13 00:00:00
1484,975,9,2017-02-04 00:00:00,2017-04-15 00:00:00
5500,5443,9,2017-02-17 00:00:00,2017-04-25 00:00:00
4013,4016,9,2017-01-20 00:00:00,2017-03-10 00:00:00
2939,1337,9,2017-01-25 00:00:00,2017-03-13 00:00:00
2867,975,9,2017-02-04 00:00:00,2017-04-15 00:00:00
831,802,9,2017-01-02 00:00:00,2017-04-21 00:00:00
4042,4388,9,2017-01-31 00:00:00,2017-04-02 00:00:00
746,751,9,2017-01-02 00:00:00,2017-01-31 00:00:00
772,763,9,2017-01-02 00:00:00,2017-01-31 00:00:00
2969,1337,9,2017-01-25 00:00:00,2017-03-13 00:00:00
2867,407,9,2017-02-02 00:00:00,2017-03-13 00:00:00
2959,975,9,2017-01-25 00:00:00,2017-03-13 00:00:00
1095,1053,9,2017-01-02 00:00:00,2017-01-31 00:00:00
4903,4988,9,2017-02-09 00:00:00,2017-04-05 00:00:00
443,2560,9,2017-01-21 00:00:00,2017-03-20 00:00:00
1023,1053,9,2017-01-02 00:00:00,2017-01-31 00:00:00
2939,407,9,2017-02-04 00:00:00,2017-04-02 00:00:00
4609,2509,9,2017-02-04 00:00:00,2017-03-20 00:00:00
