Passenger 1 ID,Passenger 2 ID,Number of Flights Together
701,760,15
2759,2717,14
3590,3503,14
2939,5490,13
2511,407,12
382,392,12
1673,4827,12
2939,4395,12
4016,4059,12
3093,1208,12
701,763,12
3590,2926,12
366,374,12
760,763,12
5423,3278,12
5481,5491,12
2867,1337,12
1484,1337,12
2550,4441,12
2759,4316,12
4399,4395,12
3021,9522,12
3590,6813,12
4373,4316,12
1371,975,12
9252,7877,12
4451,7560,11
772,1023,11
1464,1337,11
2717,4316,11
2759,4373,11
6507,1733,11
8679,6113,11
7162,4541,11
10541,10576,11
1371,1337,11
7872,7866,11
4339,4009,11
4053,4025,11
360,1029,11
2969,2959,11
928,975,11
6100,6052,11
4607,4674,11
716,724,11
771,755,11
1849,392,11
4034,4046,11
1865,1884,11
5481,5443,11
6205,4200,11
866,816,11
1046,4552,11
9258,3589,11
5491,5443,11
3477,1053,11
2906,901,11
6447,6418,11
5481,4316,11
855,10899,11
3735,7685,11
5544,5546,11
9828,9752,11
7747,9522,11
4316,5491,11
1966,6777,11
2939,2959,11
752,733,11
1001,1023,11
9369,7902,11
288,1343,11
2939,2969,11
7810,2068,11
1666,1696,11
2783,1818,11
226,624,11
5789,1208,11
752,366,11
382,7560,11
2097,1678,11
3090,3021,11
7810,9069,11
382,4451,11
4011,4044,11
746,772,11
7039,3278,10
10767,10716,10
6560,4774,10
5500,5443,10
1772,7327,10
2939,1337,10
11871,10767,10
368,362,10
2489,1041,10
3503,6813,10
4012,4083,10
3896,5375,10
8596,8679,10
752,739,10
8363,4056,10
5101,5111,10
2489,2476,10
391,1662,10
3223,8257,10
9066,392,10
4316,5443,10
4294,4260,10
4607,1884,10
8596,2201,10
624,670,10
11074,11046,10
760,751,10
2511,928,10
1464,1666,10
5491,5500,10
5423,975,10
5481,5494,10
739,374,10
4249,3590,10
4850,2960,10
5792,5946,10
5481,5500,10
4399,2939,10
1378,1041,10
9069,9098,10
1447,2550,10
8158,5423,10
4009,4083,10
8158,3278,10
5478,5464,10
5522,2231,10
4249,6447,10
5490,4395,10
7866,7662,10
10083,10016,10
4249,1677,10
1378,2489,10
4609,4656,10
4012,4080,10
4700,4682,10
701,751,10
8961,6084,10
928,1337,10
2926,2857,10
4395,4388,10
4339,5414,10
477,3120,10
5440,5443,10
6548,6522,10
1955,1337,10
2223,2441,10
9066,1849,10
10702,10719,10
3865,3847,10
752,374,10
1447,4441,10
3180,4483,10
5491,5494,10
5500,5440,10
2511,2867,10
3590,3418,10
3576,3544,10
1371,928,10
2511,1484,10
8190,5482,10
13221,12323,10
9282,9258,10
4969,2294,10
733,739,10
760,1095,10
5440,5494,10
8262,8260,10
1064,7579,10
274,275,10
701,1095,10
5789,6813,10
1677,3590,10
2068,2408,10
1677,1635,10
5977,5966,10
4009,4012,10
2867,1484,10
6805,3356,10
5989,5911,10
1849,1822,10
4399,4388,10
5505,5566,10
2926,3503,10
3169,606,10
10368,8363,10
5494,5443,10
4249,6813,10
6813,3418,10
4249,3418,10
5798,5744,10
11296,75,10
1464,1696,10
716,760,10
1677,7605,10
5500,5494,10
751,763,10
5481,5440,10
6813,1208,10
2926,6813,10
5596,6418,10
2697,2681,10
2857,2776,10
8584,8562,10
2759,5443,10
2905,2988,10
5491,5440,10
5481,2759,10
10478,859,10
2759,5491,10
2773,1884,10
9742,3466,10
1865,2773,10
92,3802,10
1337,975,10
8679,2201,10
1677,6813,10
4339,4083,9
2867,928,9
5798,5706,9
4388,4316,9
755,740,9
707,793,9
5771,5734,9
1677,8411,9
2097,9752,9
3503,7866,9
1613,8461,9
1484,975,9
10446,10440,9
4016,2941,9
8158,4249,9
184,1817,9
9659,7679,9
441,1646,9
3503,3418,9
3090,9522,9
11276,11296,9
7820,7866,9
901,2776,9
4013,4016,9
3278,2482,9
2867,975,9
831,802,9
13657,13668,9
3920,3937,9
7685,8353,9
1351,979,9
4774,8260,9
10785,10716,9
5978,5912,9
7039,5423,9
4042,4388,9
1715,5522,9
5744,5706,9
4451,10719,9
746,751,9
7685,8289,9
10350,8290,9
772,763,9
2964,8810,9
2969,1337,9
8979,5198,9
763,1095,9
2867,407,9
211,6084,9
3527,3963,9
211,8961,9
10203,10234,9
10067,9540,9
2959,975,9
2717,4373,9
4316,5440,9
920,2437,9
1095,1053,9
4009,5426,9
4903,4988,9
4467,4496,9
2294,3544,9
4011,1666,9
8036,8006,9
2576,248,9
4820,7209,9
443,2560,9
5867,8045,9
5423,6813,9
1023,1053,9
3361,11276,9
3576,4674,9
2939,407,9
5414,5426,9
1034,1616,9
394,468,9
12323,9540,9
4609,2509,9
6707,2857,9
1046,1651,9
10702,4451,9
4339,4012,9
271,230,9
2717,1484,9
1484,407,9
364,1023,9
1332,2905,9
10764,10719,9
740,724,9
5761,5706,9
5420,5467,9
2969,407,9
3503,7872,9
1078,6003,9
2174,2117,9
5481,2717,9
4969,4674,9
2717,5494,9
2759,2867,9
5865,5808,9
1208,2886,9
701,724,9
4607,2773,9
7898,9066,9
2717,5500,9
2906,2857,9
2906,2776,9
2773,4674,9
746,740,9
4700,6020,9
1976,1984,9
8158,7662,9
3913,3924,9
1007,1038,9
2969,4042,9
6560,8260,9
12323,2588,9
4066,4009,9
2857,6813,9
746,760,9
2511,1371,9
2511,4053,9
5490,5456,9
1678,9752,9
8262,6560,9
3735,8289,9
139,3889,9
2783,2776,9
3677,11275,9
4147,8084,9
4339,4395,9
1228,1287,9
2867,2717,9
288,1678,9
752,727,9
2857,901,9
241,2117,9
6447,8411,9
271,264,9
3414,368,9
746,1023,9
1677,625,9
5490,6020,9
1001,1053,9
2939,975,9
1025,1026,9
855,167,9
479,8679,9
5720,5706,9
4344,2988,9
2959,928,9
4552,6089,9
4080,4011,9
4339,4364,9
5789,3093,9
7662,7605,9
7209,4034,9
8596,479,9
928,4025,9
716,1053,9
286,292,9
4083,4044,9
3937,3527,9
247,3188,9
7721,10067,9
1351,1377,9
7810,3802,9
248,275,9
5867,8590,9
2075,2062,9
752,760,9
1865,4674,9
701,740,9
8961,8326,9
1677,1646,9
4969,4942,9
4066,4044,9
1001,772,9
7162,167,9
5744,5720,9
5731,5743,9
1001,1095,9
716,772,9
9066,9014,9
4171,6208,9
2068,3802,9
2488,419,9
7747,8596,9
10083,6548,9
8190,7605,9
746,763,9
1371,1484,9
1651,4082,9
205,255,9
1246,1831,9
5989,2886,9
701,772,9
4042,4395,9
3590,7872,9
4363,4056,9
167,9282,9
366,733,9
479,6113,9
5482,7605,9
928,407,9
2479,10023,9
4042,4025,9
724,751,9
3858,4522,9
6064,6017,9
11808,10731,9
4066,4011,9
4523,5434,9
3590,3278,9
1001,746,9
724,1053,9
1023,368,9
9649,9696,9
9252,4827,9
5789,3590,9
8234,8225,9
4200,1413,9
950,2734,9
3561,3548,9
2271,2225,9
5798,5720,9
13249,13296,9
950,959,9
5448,5431,9
9063,11275,9
3937,5467,9
7643,8590,9
2759,5494,9
264,230,9
4316,5494,9
1158,4761,9
4399,4339,9
2959,1337,9
8732,7327,9
1865,4607,9
2969,928,9
12323,10067,9
10798,7209,9
4009,4044,9
3421,3477,9
11225,4827,9
774,731,9
5744,5769,9
2867,1371,9
288,2097,9
5869,1733,9
2959,407,9
5788,5761,9
2926,7220,9
4399,4316,9
4969,4990,9
364,368,9
716,763,9
1715,2231,9
5771,5798,9
733,374,9
385,309,9
53,2062,9
2969,1371,9
3078,3021,9
8519,6180,9
1371,2959,9
8363,2973,9
1666,4044,9
13221,10067,9
11276,6777,9
4009,4011,9
2911,2988,9
4012,4044,9
1884,4674,9
4404,7636,9
4066,4012,9
8158,2857,9
8121,4178,9
5486,5464,9
7209,5522,9
4012,4011,9
740,772,9
2717,407,9
3361,1966,9
4042,4053,9
2789,1696,9
258,8299,9
6813,7605,9
930,915,9
7505,3356,9
724,772,9
1677,2857,9
701,716,9
724,763,9
3078,9271,9
2511,1337,9
2511,2717,9
6823,6807,9
1272,2501,9
2939,928,9
740,760,9
2717,5443,9
2556,2501,9
4080,4044,9
3609,3637,9
5731,5716,9
61,2345,9
4820,1715,9
6813,3093,9
4013,4059,9
950,997,9
2759,407,9
2789,1464,9
1677,3278,9
7209,1715,9
2789,1666,9
8262,4774,9
4820,5522,9
313,308,9
9828,1678,9
364,1001,9
2717,5491,9
2529,4852,9
7243,8007,9
5016,4364,9
9828,2097,9
2511,975,9
855,10541,9
813,833,9
4042,4316,9
928,4053,9
1822,7560,9
2939,6020,9
1001,368,9
9282,3589,9
740,716,9
2511,2759,9
6878,2773,9
2939,1371,9
1677,3418,9
4395,4316,9
7799,7768,9
2759,1484,9
3590,7866,9
2509,4656,9
8596,8562,9
10702,10764,9
4675,4917,9
4066,4083,9
2486,2440,9
1464,5459,9
8068,8037,9
959,997,9
6447,3418,9
3590,2857,9
10334,10322,9
3002,3028,9
2959,4388,9
5530,7677,9
4841,4881,9
2789,5401,9
11198,8664,9
756,4384,9
3590,7605,9
1677,1208,9
4066,4080,9
7747,3021,9
5795,5787,9
9049,4165,9
716,751,9
928,1484,9
2939,2867,9
2401,3472,9
5481,6017,9
724,760,9
746,701,9
3590,1208,9
740,763,9
761,716,9
5771,5744,9
2969,975,9
5478,5486,9
751,772,9
2717,5440,9
1677,5482,9
5788,5706,9
8684,1747,9
2759,5500,9
4399,4042,9
3576,2294,9
4011,4083,9
4399,4009,9
6707,2926,9
2857,3093,9
7820,7872,9
2511,4025,9
750,773,9
10313,10396,9
4942,4990,9
8596,6113,9
10022,4917,9
5509,4468,9
4478,3529,9
1023,1095,9
6113,2201,9
3292,4550,9
4316,5500,9
603,649,9
9355,8529,9
740,751,9
6100,8411,9
746,724,9
7685,7605,9
1064,1041,9
855,9282,9
11175,11180,9
13221,9540,9
4009,4080,9
746,716,9
9069,2068,9
8089,8007,9
4080,4083,9
1677,8190,9
5490,2886,9
13731,13781,9
795,763,9
4389,8078,9
760,772,9
2759,5440,9
364,392,8
3513,2258,8
1715,5503,8
1635,3590,8
740,733,8
1482,1818,8
3677,9063,8
5411,2776,8
11871,4070,8
7661,5111,8
4364,4044,8
7209,6729,8
2759,975,8
4046,4010,8
1043,385,8
5575,870,8
2068,9098,8
759,746,8
8158,6813,8
4080,4364,8
435,1074,8
10368,211,8
2378,10937,8
5422,5434,8
3735,3330,8
917,937,8
5761,5724,8
1646,7605,8
8584,3021,8
4713,6317,8
6870,6855,8
4969,3544,8
11853,11808,8
4451,1822,8
855,10576,8
2926,3278,8
10702,10767,8
7721,13564,8
1208,7605,8
8679,8562,8
2717,5922,8
7114,7194,8
755,763,8
4816,4827,8
6897,6870,8
4042,4059,8
4080,4059,8
8190,3590,8
4053,1337,8
2556,1272,8
2105,2106,8
2857,3418,8
211,8363,8
5522,6729,8
10762,10767,8
6064,4316,8
8590,8045,8
4053,4316,8
9988,9906,8
4309,4373,8
119,139,8
1853,1828,8
11910,11909,8
7508,4384,8
11450,13731,8
1701,3012,8
8596,3021,8
226,670,8
1482,930,8
5668,1613,8
497,484,8
1464,1484,8
12210,10212,8
755,724,8
2185,8595,8
4399,4053,8
4249,7605,8
2857,1074,8
2783,2759,8
8158,10325,8
4373,4674,8
7039,7662,8
337,375,8
746,733,8
10767,5096,8
10017,10016,8
4012,4364,8
2960,10389,8
719,778,8
759,755,8
