Passenger 1 ID,Passenger 2 ID,Number of Flights Together,From,To
2717,2759,13,2017-01-10T00:00:00.000-06:00,2017-04-25T00:00:00.000-05:00
366,374,12,2017-01-01T00:00:00.000-06:00,2017-03-25T00:00:00.000-05:00
975,1371,12,2017-01-25T00:00:00.000-06:00,2017-04-22T00:00:00.000-05:00
733,752,11,2017-01-02T00:00:00.000-06:00,2017-03-24T00:00:00.000-05:00
716,724,11,2017-01-02T00:00:00.000-06:00,2017-04-12T00:00:00.000-05:00
1001,1023,11,2017-01-02T00:00:00.000-06:00,2017-04-20T00:00:00.000-05:00
366,752,11,2017-01-04T00:00:00.000-06:00,2017-04-05T00:00:00.000-05:00
2939,2959,11,2017-01-10T00:00:00.000-06:00,2017-04-02T00:00:00.000-05:00
1337,1371,11,2017-01-03T00:00:00.000-06:00,2017-04-15T00:00:00.000-05:00
746,772,11,2017-01-02T00:00:00.000-06:00,2017-04-20T00:00:00.000-05:00
2939,2969,11,2017-01-10T00:00:00.000-06:00,2017-04-02T00:00:00.000-05:00
1666,1696,11,2017-01-07T00:00:00.000-06:00,2017-04-05T00:00:00.000-05:00
755,771,11,2017-01-02T00:00:00.000-06:00,2017-02-26T00:00:00.000-06:00
928,975,11,2017-01-02T00:00:00.000-06:00,2017-04-15T00:00:00.000-05:00
2959,2969,11,2017-01-10T00:00:00.000-06:00,2017-04-02T00:00:00.000-05:00
4025,4053,11,2017-01-20T00:00:00.000-06:00,2017-04-24T00:00:00.000-05:00
739,752,10,2017-01-02T00:00:00.000-06:00,2017-03-04T00:00:00.000-06:00
1484,2867,10,2017-02-02T00:00:00.000-06:00,2017-04-15T00:00:00.000-05:00
2511,2867,10,2017-02-02T00:00:00.000-06:00,2017-04-15T00:00:00.000-05:00
701,751,10,2017-01-02T00:00:00.000-06:00,2017-04-29T00:00:00.000-05:00
928,1337,10,2017-01-25T00:00:00.000-06:00,2017-04-15T00:00:00.000-05:00
928,2511,10,2017-02-04T00:00:00.000-06:00,2017-04-24T00:00:00.000-05:00
760,763,10,2017-01-02T00:00:00.000-06:00,2017-04-29T00:00:00.000-05:00
1484,2511,10,2017-02-02T00:00:00.000-06:00,2017-04-15T00:00:00.000-05:00
2905,2988,10,2017-01-10T00:00:00.000-06:00,2017-04-29T00:00:00.000-05:00
975,1337,10,2017-01-25T00:00:00.000-06:00,2017-04-15T00:00:00.000-05:00
701,763,10,2017-01-02T00:00:00.000-06:00,2017-04-29T00:00:00.000-05:00
751,760,10,2017-01-02T00:00:00.000-06:00,2017-04-29T00:00:00.000-05:00
1865,1884,10,2017-01-08T00:00:00.000-06:00,2017-04-25T00:00:00.000-05:00
733,739,10,2017-01-02T00:00:00.000-06:00,2017-03-04T00:00:00.000-06:00
1337,1484,10,2017-02-04T00:00:00.000-06:00,2017-04-26T00:00:00.000-05:00
4009,4083,10,2017-01-20T00:00:00.000-06:00,2017-04-12T00:00:00.000-05:00
2759,4316,10,2017-02-07T00:00:00.000-06:00,2017-04-25T00:00:00.000-05:00
374,752,10,2017-01-04T00:00:00.000-06:00,2017-03-25T00:00:00.000-05:00
274,275,10,2017-01-01T00:00:00.000-06:00,2017-04-13T00:00:00.000-05:00
751,763,10,2017-01-02T00:00:00.000-06:00,2017-04-29T00:00:00.000-05:00
4316,4373,10,2017-01-24T00:00:00.000-06:00,2017-04-25T00:00:00.000-05:00
4395,4399,10,2017-01-24T00:00:00.000-06:00,2017-04-02T00:00:00.000-05:00
4388,4399,10,2017-01-24T00:00:00.000-06:00,2017-04-02T00:00:00.000-05:00
772,1023,10,2017-01-04T00:00:00.000-06:00,2017-04-21T00:00:00.000-05:00
624,670,10,2017-01-02T00:00:00.000-06:00,2017-04-15T00:00:00.000-05:00
4388,4395,10,2017-01-24T00:00:00.000-06:00,2017-04-02T00:00:00.000-05:00
4012,4080,10,2017-01-20T00:00:00.000-06:00,2017-03-14T00:00:00.000-05:00
928,1371,10,2017-01-25T00:00:00.000-06:00,2017-04-15T00:00:00.000-05:00
2717,4316,10,2017-02-07T00:00:00.000-06:00,2017-04-25T00:00:00.000-05:00
1464,1666,10,2017-02-02T00:00:00.000-06:00,2017-04-05T00:00:00.000-05:00
4011,4044,10,2017-01-20T00:00:00.000-06:00,2017-04-05T00:00:00.000-05:00
4607,4674,10,2017-02-02T00:00:00.000-06:00,2017-04-25T00:00:00.000-05:00
4609,4656,10,2017-02-02T00:00:00.000-06:00,2017-03-20T00:00:00.000-05:00
1464,1696,10,2017-02-02T00:00:00.000-06:00,2017-04-05T00:00:00.000-05:00
407,2511,10,2017-01-21T00:00:00.000-06:00,2017-03-13T00:00:00.000-05:00
4009,4012,10,2017-01-20T00:00:00.000-06:00,2017-04-12T00:00:00.000-05:00
391,1662,10,2017-01-10T00:00:00.000-06:00,2017-04-05T00:00:00.000-05:00
701,760,10,2017-01-02T00:00:00.000-06:00,2017-04-29T00:00:00.000-05:00
4012,4083,10,2017-01-20T00:00:00.000-06:00,2017-04-12T00:00:00.000-05:00
746,1001,9,2017-01-04T00:00:00.000-06:00,2017-04-20T00:00:00.000-05:00
4009,4080,9,2017-01-20T00:00:00.000-06:00,2017-03-14T00:00:00.000-05:00
1666,2789,9,2017-02-02T00:00:00.000-06:00,2017-03-14T00:00:00.000-05:00
975,2939,9,2017-01-25T00:00:00.000-06:00,2017-03-13T00:00:00.000-05:00
928,2959,9,2017-01-25T00:00:00.000-06:00,2017-03-13T00:00:00.000-05:00
724,1053,9,2017-01-04T00:00:00.000-06:00,2017-04-12T00:00:00.000-05:00
368,1023,9,2017-01-03T00:00:00.000-06:00,2017-04-10T00:00:00.000-05:00
2501,2556,9,2017-01-10T00:00:00.000-06:00,2017-04-16T00:00:00.000-05:00
1371,2511,9,2017-02-04T00:00:00.000-06:00,2017-04-15T00:00:00.000-05:00
928,1484,9,2017-02-04T00:00:00.000-06:00,2017-04-15T00:00:00.000-05:00
4316,4395,9,2017-01-24T00:00:00.000-06:00,2017-03-13T00:00:00.000-05:00
4013,4059,9,2017-01-20T00:00:00.000-06:00,2017-03-10T00:00:00.000-06:00
1337,2969,9,2017-01-25T00:00:00.000-06:00,2017-03-13T00:00:00.000-05:00
746,763,9,2017-01-02T00:00:00.000-06:00,2017-01-31T00:00:00.000-06:00
928,2969,9,2017-01-25T00:00:00.000-06:00,2017-03-13T00:00:00.000-05:00
364,1001,9,2017-01-03T00:00:00.000-06:00,2017-04-20T00:00:00.000-05:00
724,763,9,2017-01-02T00:00:00.000-06:00,2017-01-31T00:00:00.000-06:00
1023,1095,9,2017-01-02T00:00:00.000-06:00,2017-01-31T00:00:00.000-06:00
724,740,9,2017-01-02T00:00:00.000-06:00,2017-01-31T00:00:00.000-06:00
740,772,9,2017-01-02T00:00:00.000-06:00,2017-01-31T00:00:00.000-06:00
1371,1484,9,2017-02-04T00:00:00.000-06:00,2017-04-15T00:00:00.000-05:00
740,746,9,2017-01-02T00:00:00.000-06:00,2017-01-31T00:00:00.000-06:00
4042,4388,9,2017-01-31T00:00:00.000-06:00,2017-04-02T00:00:00.000-05:00
4316,4388,9,2017-01-24T00:00:00.000-06:00,2017-03-13T00:00:00.000-05:00
4044,4080,9,2017-01-20T00:00:00.000-06:00,2017-03-14T00:00:00.000-05:00
2509,4609,9,2017-02-04T00:00:00.000-06:00,2017-03-20T00:00:00.000-05:00
975,2959,9,2017-01-25T00:00:00.000-06:00,2017-03-13T00:00:00.000-05:00
1337,2511,9,2017-02-04T00:00:00.000-06:00,2017-04-15T00:00:00.000-05:00
724,746,9,2017-01-02T00:00:00.000-06:00,2017-01-31T00:00:00.000-06:00
975,1484,9,2017-02-04T00:00:00.000-06:00,2017-04-15T00:00:00.000-05:00
4011,4083,9,2017-01-20T00:00:00.000-06:00,2017-03-14T00:00:00.000-05:00
740,763,9,2017-01-02T00:00:00.000-06:00,2017-01-31T00:00:00.000-06:00
4903,4988,9,2017-02-09T00:00:00.000-06:00,2017-04-05T00:00:00.000-05:00
4009,4339,9,2017-01-31T00:00:00.000-06:00,2017-04-12T00:00:00.000-05:00
724,760,9,2017-01-02T00:00:00.000-06:00,2017-01-31T00:00:00.000-06:00
407,2959,9,2017-02-04T00:00:00.000-06:00,2017-04-02T00:00:00.000-05:00
4009,4044,9,2017-01-20T00:00:00.000-06:00,2017-03-14T00:00:00.000-05:00
