Passenger 1 ID,Passenger 2 ID,Number of Flights Together,From,To
7877,9252,12,2017-09-10T00:00:00.000-05:00,2017-11-24T00:00:00.000-06:00
7902,9369,10,2017-08-10T00:00:00.000-05:00,2017-12-02T00:00:00.000-06:00
1772,7327,10,2017-08-07T00:00:00.000-05:00,2017-12-02T00:00:00.000-06:00
859,10478,10,2017-08-08T00:00:00.000-05:00,2017-10-28T00:00:00.000-05:00
2068,2408,10,2017-08-06T00:00:00.000-05:00,2017-12-02T00:00:00.000-06:00
12323,13221,10,2017-11-10T00:00:00.000-06:00,2017-12-18T00:00:00.000-06:00
10067,12323,9,2017-11-10T00:00:00.000-06:00,2017-12-16T00:00:00.000-06:00
2588,12323,9,2017-09-01T00:00:00.000-05:00,2017-12-02T00:00:00.000-06:00
9540,13221,9,2017-11-10T00:00:00.000-06:00,2017-12-16T00:00:00.000-06:00
9540,10067,9,2017-11-10T00:00:00.000-06:00,2017-12-16T00:00:00.000-06:00
10767,11871,9,2017-08-08T00:00:00.000-05:00,2017-12-28T00:00:00.000-06:00
139,3889,9,2017-08-27T00:00:00.000-05:00,2017-11-17T00:00:00.000-06:00
4827,9252,9,2017-08-21T00:00:00.000-05:00,2017-11-21T00:00:00.000-06:00
10067,13221,9,2017-11-10T00:00:00.000-06:00,2017-12-16T00:00:00.000-06:00
7721,10067,9,2017-08-27T00:00:00.000-05:00,2017-12-14T00:00:00.000-06:00
2964,8810,9,2017-08-21T00:00:00.000-05:00,2017-11-27T00:00:00.000-06:00
13731,13781,9,2017-10-11T00:00:00.000-05:00,2017-11-24T00:00:00.000-06:00
9540,12323,9,2017-11-10T00:00:00.000-06:00,2017-12-16T00:00:00.000-06:00
13249,13296,9,2017-09-24T00:00:00.000-05:00,2017-12-25T00:00:00.000-06:00
8529,9355,9,2017-09-20T00:00:00.000-05:00,2017-12-02T00:00:00.000-06:00
8664,11198,9,2017-09-11T00:00:00.000-05:00,2017-12-01T00:00:00.000-06:00
183,356,8,2017-11-20T00:00:00.000-06:00,2017-12-17T00:00:00.000-06:00
7661,9994,8,2017-08-14T00:00:00.000-05:00,2017-12-02T00:00:00.000-06:00
10067,13564,8,2017-11-10T00:00:00.000-06:00,2017-12-14T00:00:00.000-06:00
7721,12323,8,2017-11-10T00:00:00.000-06:00,2017-12-14T00:00:00.000-06:00
139,8025,8,2017-10-01T00:00:00.000-05:00,2017-12-28T00:00:00.000-06:00
10446,12298,8,2017-08-26T00:00:00.000-05:00,2017-10-25T00:00:00.000-05:00
6535,10196,8,2017-09-24T00:00:00.000-05:00,2017-12-14T00:00:00.000-06:00
8212,10802,8,2017-08-01T00:00:00.000-05:00,2017-11-08T00:00:00.000-06:00
5101,12323,8,2017-09-01T00:00:00.000-05:00,2017-12-02T00:00:00.000-06:00
6591,9862,8,2017-08-06T00:00:00.000-05:00,2017-09-11T00:00:00.000-05:00
1947,13819,8,2017-11-08T00:00:00.000-06:00,2017-12-05T00:00:00.000-06:00
9653,12389,8,2017-09-01T00:00:00.000-05:00,2017-12-02T00:00:00.000-06:00
363,6519,8,2017-09-07T00:00:00.000-05:00,2017-12-01T00:00:00.000-06:00
7643,8590,8,2017-10-03T00:00:00.000-05:00,2017-12-21T00:00:00.000-06:00
4335,7727,8,2017-10-09T00:00:00.000-05:00,2017-12-23T00:00:00.000-06:00
7721,13221,8,2017-11-10T00:00:00.000-06:00,2017-12-14T00:00:00.000-06:00
5380,13731,8,2017-10-31T00:00:00.000-05:00,2017-12-25T00:00:00.000-06:00
11450,13731,8,2017-10-16T00:00:00.000-05:00,2017-11-24T00:00:00.000-06:00
11211,12323,8,2017-09-01T00:00:00.000-05:00,2017-11-27T00:00:00.000-06:00
356,10067,8,2017-11-10T00:00:00.000-06:00,2017-12-14T00:00:00.000-06:00
356,12323,8,2017-11-10T00:00:00.000-06:00,2017-12-14T00:00:00.000-06:00
2548,8057,8,2017-09-24T00:00:00.000-05:00,2017-12-10T00:00:00.000-06:00
13221,13564,8,2017-11-10T00:00:00.000-06:00,2017-12-14T00:00:00.000-06:00
5634,6733,8,2017-10-04T00:00:00.000-05:00,2017-12-25T00:00:00.000-06:00
10212,12210,8,2017-08-07T00:00:00.000-05:00,2017-12-02T00:00:00.000-06:00
13657,13668,8,2017-10-01T00:00:00.000-05:00,2017-12-26T00:00:00.000-06:00
11450,13781,8,2017-10-16T00:00:00.000-05:00,2017-11-24T00:00:00.000-06:00
2548,7194,8,2017-11-20T00:00:00.000-06:00,2017-12-16T00:00:00.000-06:00
613,10398,8,2017-08-30T00:00:00.000-05:00,2017-11-06T00:00:00.000-06:00
11450,11633,8,2017-08-13T00:00:00.000-05:00,2017-11-08T00:00:00.000-06:00
2588,5101,8,2017-09-01T00:00:00.000-05:00,2017-12-02T00:00:00.000-06:00
435,859,8,2017-08-02T00:00:00.000-05:00,2017-09-16T00:00:00.000-05:00
919,10229,8,2017-09-23T00:00:00.000-05:00,2017-12-17T00:00:00.000-06:00
5201,9101,8,2017-08-01T00:00:00.000-05:00,2017-12-02T00:00:00.000-06:00
932,11808,8,2017-08-10T00:00:00.000-05:00,2017-12-20T00:00:00.000-06:00
12530,12567,8,2017-08-18T00:00:00.000-05:00,2017-12-05T00:00:00.000-06:00
4016,5046,8,2017-08-24T00:00:00.000-05:00,2017-11-06T00:00:00.000-06:00
2588,11211,8,2017-09-01T00:00:00.000-05:00,2017-11-27T00:00:00.000-06:00
10909,13605,8,2017-10-08T00:00:00.000-05:00,2017-12-16T00:00:00.000-06:00
4854,10989,8,2017-08-17T00:00:00.000-05:00,2017-11-08T00:00:00.000-06:00
14018,14060,8,2017-10-29T00:00:00.000-05:00,2017-12-26T00:00:00.000-06:00
356,7721,8,2017-11-10T00:00:00.000-06:00,2017-12-14T00:00:00.000-06:00
5111,7661,8,2017-11-10T00:00:00.000-06:00,2017-12-25T00:00:00.000-06:00
10244,13163,8,2017-10-04T00:00:00.000-05:00,2017-12-24T00:00:00.000-06:00
9600,9862,8,2017-08-10T00:00:00.000-05:00,2017-09-21T00:00:00.000-05:00
356,9540,8,2017-11-10T00:00:00.000-06:00,2017-12-14T00:00:00.000-06:00
